Date,Open,High,Low,Close,Volume,Return,Volatility,Volume_MA,Sentiment,CloseMA_3,CloseMA_5,CloseMA_10,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower
2013-02-11,47.13,47.2,46.0,46.23,1232182,-0.0168014,0.0254615,0.0,Neutral,0.0,0.0,0.0,,0.0,0.0,,
2013-02-12,46.22,46.87,45.84,46.66,1812239,0.00930132,0.0222847,0.0,Neutral,0.0,0.0,0.0,,0.03430199430199821,0.0068603988603996415,,
2013-02-13,46.79,47.78,46.64,46.9,2588436,0.00514359,0.0243642,0.0,Bullish,46.5967,0.0,0.0,,0.07993116938986589,0.021474552966292894,,
2013-02-14,42.58,44.86,42.04,43.55,7033474,-0.0714286,0.0662283,2715940.0,Neutral,45.7033,0.0,0.0,,-0.152466840662548,-0.013313725759475287,,
2013-02-15,43.6,45.42,43.5,44.415,2817097,0.0198622,0.0440367,3096690.0,Bullish,44.955,45.551,0.0,,-0.26380469081001934,-0.0634119187695841,,
2013-02-19,44.49,44.49,43.31,43.52,1607010,-0.0201508,0.0265228,3171650.0,Neutral,43.8283,45.009,0.0,,-0.41942489031804087,-0.13461451307927547,,
2013-02-20,43.53,43.55,42.68,42.76,1231049,-0.0174632,0.0199862,3055410.0,Neutral,43.565,44.229,0.0,,-0.5971965578491876,-0.2271309220332579,,
2013-02-21,42.2,43.47,42.2,42.94,1498082,0.00420954,0.0300948,2837340.0,Bullish,43.0733,43.437,0.0,,-0.715311721210071,-0.3247670818686206,,
2013-02-22,43.11,44.09,42.9,43.85,1985990,0.0211924,0.0276038,1827850.0,Bullish,43.1833,43.497,0.0,,-0.727107798245406,-0.4052352251439777,,
2013-02-25,44.13,44.77,43.5,43.64,1846842,-0.00478905,0.0287786,1633790.0,Bearish,43.4767,43.342,44.4465,,-0.7448157469397998,-0.47315132950314215,,
2013-02-26,43.68,44.21,43.44,43.73,1138070,0.00206233,0.0176282,1540010.0,Neutral,43.74,43.384,44.1965,,-0.7430220799973455,-0.5271254796019829,,
2013-02-27,44.15,45.56,44.1,45.27,2194735,0.0352161,0.0330691,1732740.0,Bullish,44.2133,43.886,44.0575,,-0.6103002944441727,-0.5437604425704208,,
2013-02-28,45.24,45.735,44.58,45.536,1993220,0.00587586,0.0255305,1831770.0,Bullish,44.8453,44.4052,43.9211,,-0.4781416271937502,-0.5306366794950867,,
2013-03-01,45.42,45.94,44.59,45.62,2159112,0.00184469,0.0297226,1866400.0,Neutral,45.4753,44.7592,44.1281,,-0.3624487496933497,-0.49699909353473937,,
2013-03-04,45.42,45.66,44.75,45.51,1841692,-0.00241122,0.0200352,1865370.0,Neutral,45.5553,45.1332,44.2376,46.37462235649548,-0.2764506405441125,-0.452889402936614,,
2013-03-05,45.79,47.84,45.65,47.68,2586716,0.0476818,0.047827,2155100.0,Bullish,46.27,45.9232,44.6536,54.370179948586134,-0.032817356845491474,-0.3688749937183895,,
2013-03-06,48.0,50.88,47.9,48.63,4827085,0.0199245,0.0620833,2681560.0,Bullish,47.2733,46.5952,45.2406,56.98707592891762,0.23422088373714445,-0.24825581822728274,,
2013-03-07,48.59,51.15,48.1,50.59,3630367,0.0403043,0.0627701,3008990.0,Bullish,48.9667,47.606,46.0056,82.02911737943586,0.597122970988643,-0.07918006038409758,,
2013-03-08,50.77,51.34,50.56,51.03,1531711,0.00869737,0.0153634,2883510.0,Bullish,50.0833,48.688,46.7236,81.30619971604354,0.9097428630405062,0.1186045243008232,,
2013-03-11,51.09,51.63,50.2581,51.4,1223136,0.00725064,0.0268526,2759800.0,Bullish,51.0067,49.866,47.4996,89.24302788844616,1.1738212073769887,0.32964786091605636,51.354427146184214,40.59167285381579
2013-03-12,51.34,51.605,50.61,51.15,1774266,-0.00486381,0.0193806,2597310.0,Neutral,51.1933,50.56,48.2416,94.01888772298005,1.3474002953058246,0.5331983477940101,52.078469100900705,40.35963089909929
2013-03-13,51.14,52.61,50.77,52.39,2037598,0.0242424,0.0359797,2039420.0,Bullish,51.6467,51.312,48.9536,94.61756373937676,1.566957697012974,0.7399502176378029,52.983452599973,40.027647400027
2013-03-14,52.5,53.41,52.13,52.59,1482357,0.00381752,0.024381,1609810.0,Bullish,52.0433,51.712,49.659,94.23076923076923,1.7370729525155753,0.9393747646133574,53.81738671120373,39.76271328879627
2013-03-15,52.47,53.73,52.23,52.4,2655851,-0.00361285,0.0285878,1834640.0,Neutral,52.46,51.986,50.337,94.42190669371193,1.835401737282389,1.1185801591471638,54.51090914055822,39.95419085944177
2013-03-18,52.12,53.41,51.7,52.43,1098101,0.000572519,0.0328089,1809630.0,Neutral,52.4733,52.192,51.029,94.38775510204079,1.8939168622446232,1.2736474997666558,55.13756991715208,40.12903008284792
2013-03-19,52.51,53.3528,51.57,52.3,1256238,-0.0024795,0.0339516,1706030.0,Neutral,52.3767,52.422,51.491,91.89511323003569,1.9078085771039852,1.4004797152341217,55.590645985514016,40.55395401448598
2013-03-20,52.47,53.45,52.47,53.24,1318940,0.0179732,0.0186773,1562300.0,Bullish,52.6567,52.592,51.952,92.4977934686672,1.971936745986909,1.5147711213846793,56.01589457255264,41.17670542744736
2013-03-21,52.56,53.0,51.64,51.75,2136343,-0.0279865,0.0258752,1693090.0,Neutral,52.43,52.424,52.068,79.27411652340014,1.8808470008554536,1.5879862972788341,56.07893800071062,41.99466199928938
2013-03-22,52.06,52.58,51.96,52.5,1048985,0.0144928,0.0119093,1371720.0,Bullish,52.4967,52.444,52.215,81.4581458145814,1.8478752973951416,1.6399640973020957,56.22691319121664,42.711686808783355
2013-03-25,52.93,53.5,52.13,52.24,901361,-0.00495238,0.0258832,1332370.0,Bearish,52.1633,52.406,52.299,74.78260869565214,1.780243617505775,1.6680200013428315,56.17218880316254,43.62641119683745
2013-03-26,53.22,53.22,51.93,52.44,1256101,0.00382848,0.024239,1332350.0,Neutral,52.3933,52.434,52.428,72.54437869822479,1.7229225735183178,1.6790005157779286,55.9825303349967,44.6870696650033
2013-03-27,52.03,52.73,51.36,52.2,896698,-0.00457666,0.026331,1247900.0,Bearish,52.2933,52.226,52.409,61.96136701337294,1.6392331792430284,1.6710470484709485,55.85075690316537,45.51184309683463
2013-03-28,52.24,52.9,52.14,52.52,1034285,0.00613027,0.0145482,1027490.0,Neutral,52.3867,52.38,52.402,61.27080181543116,1.5805109110302737,1.6529398209828137,55.650900871193556,46.41009912880645
2013-04-01,52.53,54.14,51.48,51.7,1695632,-0.0156131,0.0506377,1156820.0,Bearish,52.14,52.22,52.332,52.1246458923513,1.4510788101680916,1.6125676188198694,55.193321609057115,47.475678390942896
2013-04-02,51.75,51.75,50.13,50.51,2715172,-0.0230174,0.0313043,1519580.0,Bearish,51.5767,51.874,52.14,46.00000000000001,1.2382066079522147,1.5376954166463386,54.34645563819701,48.822544361803004
2013-04-03,50.62,50.62,48.754,49.11,2461086,-0.0277173,0.0368629,1760570.0,Bearish,50.44,51.208,51.821,29.901960784313758,0.9456348642451573,1.4192833061661023,54.04062972961593,49.271370270384054
2013-04-04,48.87,49.8,48.65,49.52,1364782,0.00834861,0.0235318,1854190.0,Neutral,49.7133,50.672,51.449,31.660692951015548,0.7383420751385401,1.28309505996059,53.87096660033221,49.530033399667786
2013-04-05,49.03,49.51,48.29,48.88,1439847,-0.0129241,0.0248827,1935300.0,Bearish,49.17,49.944,51.162,30.04535147392295,0.5164649090277962,1.1297690297740313,54.083867202414424,49.146132797585565
2013-04-08,48.86,49.48,48.27,48.68,1272591,-0.00409165,0.0247646,1850700.0,Bearish,49.0267,49.34,50.78,29.143492769744185,0.3207894665304565,0.9679731171253164,54.28652265469839,48.70847734530162
